File Start Date,File End Date,File Start Time,File End Time,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Route,Different Start-End Hour,Hectometer per Minute,start_datetime_full,end_datetime_full,time_difference,time_difference_seconds,time_difference_minutes,start_time,end_time
2023-05-05,2023-05-05,1900-01-01 13:46:27,1900-01-01 13:48:00,"1,550",178.6,182.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,2.4516129032258136,2000-01-01 13:46:27,2000-01-01 13:48:00,0 days 00:01:33,93.0,1.55,13:46:27,13:48:00
2023-05-05,2023-05-05,1900-01-01 15:08:28,1900-01-01 15:10:03,"1,583",181.3,184.2,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.8315789473684068,2000-01-01 15:08:28,2000-01-01 15:10:03,0 days 00:01:35,95.0,1.5833333333333333,15:08:28,15:10:03
2023-05-05,2023-05-05,1900-01-01 16:59:28,1900-01-01 16:59:59,"1,533",180.0,180.70760869565217,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,1.3695652173913004,2000-01-01 16:59:28,2000-01-01 16:59:59,0 days 00:00:31,31.0,0.5166666666666667,16:59:28,16:59:59
2023-05-05,2023-05-05,1900-01-01 17:00:00,1900-01-01 17:01:00,"1,533",180.70760869565217,182.07717391304348,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,1.3695652173913004,2000-01-01 17:00:00,2000-01-01 17:01:00,0 days 00:01:00,60.0,1.0,17:00:00,17:01:00
2023-05-05,2023-05-05,1900-01-01 18:03:27,1900-01-01 18:05:03,"1,600",159.2,162.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,2.0000000000000107,2000-01-01 18:03:27,2000-01-01 18:05:03,0 days 00:01:36,96.0,1.6,18:03:27,18:05:03
2023-05-07,2023-05-07,1900-01-01 13:18:25,1900-01-01 13:59:59,"51,583",163.4,166.54268174474961,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.07560581583198718,2000-01-01 13:18:25,2000-01-01 13:59:59,0 days 00:41:34,2494.0,41.56666666666667,13:18:25,13:59:59
2023-05-07,2023-05-07,1900-01-01 14:00:00,1900-01-01 14:10:00,"51,583",166.54268174474961,167.29873990306947,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.07560581583198718,2000-01-01 14:00:00,2000-01-01 14:10:00,0 days 00:10:00,600.0,10.0,14:00:00,14:10:00
2023-05-05,2023-05-05,1900-01-01 14:23:28,1900-01-01 14:43:01,"19,550",179.5,183.2,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.18925831202045976,2000-01-01 14:23:28,2000-01-01 14:43:01,0 days 00:19:33,1173.0,19.55,14:23:28,14:43:01
2023-05-05,2023-05-05,1900-01-01 15:47:27,1900-01-01 15:49:00,"1,550",175.9,178.8,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.8709677419354875,2000-01-01 15:47:27,2000-01-01 15:49:00,0 days 00:01:33,93.0,1.55,15:47:27,15:49:00
2023-05-07,2023-05-07,1900-01-01 14:16:26,1900-01-01 14:59:59,"60,567",163.1,166.40759493670885,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.0759493670886075,2000-01-01 14:16:26,2000-01-01 14:59:59,0 days 00:43:33,2613.0,43.55,14:16:26,14:59:59
2023-05-07,2023-05-07,1900-01-01 15:00:00,1900-01-01 15:17:00,"60,567",166.40759493670885,167.6987341772152,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.0759493670886075,2000-01-01 15:00:00,2000-01-01 15:17:00,0 days 00:17:00,1020.0,17.0,15:00:00,15:17:00
2023-05-07,2023-05-07,1900-01-01 14:38:26,1900-01-01 14:48:00,"9,567",173.9,176.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.2822299651567932,2000-01-01 14:38:26,2000-01-01 14:48:00,0 days 00:09:34,574.0,9.566666666666666,14:38:26,14:48:00
2023-05-09,2023-05-09,1900-01-01 06:59:24,1900-01-01 06:59:59,"23,600",181.3,181.35685028248588,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.09745762711864334,2000-01-01 06:59:24,2000-01-01 06:59:59,0 days 00:00:35,35.0,0.5833333333333334,06:59:24,06:59:59
2023-05-09,2023-05-09,1900-01-01 07:00:00,1900-01-01 07:23:00,"23,600",181.35685028248588,183.59837570621468,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.09745762711864334,2000-01-01 07:00:00,2000-01-01 07:23:00,0 days 00:23:00,1380.0,23.0,07:00:00,07:23:00
2023-05-09,2023-05-09,1900-01-01 07:08:25,1900-01-01 07:12:00,"3,583",164.4,166.7,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.6418604651162743,2000-01-01 07:08:25,2000-01-01 07:12:00,0 days 00:03:35,215.0,3.5833333333333335,07:08:25,07:12:00
2023-05-09,2023-05-09,1900-01-01 07:17:25,1900-01-01 07:19:00,"1,583",174.3,176.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.3263157894736808,2000-01-01 07:17:25,2000-01-01 07:19:00,0 days 00:01:35,95.0,1.5833333333333333,07:17:25,07:19:00
2023-05-09,2023-05-09,1900-01-01 07:25:25,1900-01-01 07:27:00,"1,583",164.3,166.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.2631578947368423,2000-01-01 07:25:25,2000-01-01 07:27:00,0 days 00:01:35,95.0,1.5833333333333333,07:25:25,07:27:00
2023-05-09,2023-05-09,1900-01-01 07:36:26,1900-01-01 07:40:09,"3,717",164.4,166.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.5919282511210732,2000-01-01 07:36:26,2000-01-01 07:40:09,0 days 00:03:43,223.0,3.716666666666667,07:36:26,07:40:09
2023-05-05,2023-05-05,1900-01-01 13:48:27,1900-01-01 13:59:59,"69,550",178.9,179.46381500119818,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.048885693745506914,2000-01-01 13:48:27,2000-01-01 13:59:59,0 days 00:11:32,692.0,11.533333333333333,13:48:27,13:59:59
2023-05-05,2023-05-05,1900-01-01 14:00:00,1900-01-01 14:58:00,"69,550",179.46381500119818,182.2991852384376,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.048885693745506914,2000-01-01 14:00:00,2000-01-01 14:58:00,0 days 00:58:00,3480.0,58.0,14:00:00,14:58:00
2023-05-05,2023-05-05,1900-01-01 18:05:28,1900-01-01 18:07:00,"1,533",159.0,162.8,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,2.478260869565225,2000-01-01 18:05:28,2000-01-01 18:07:00,0 days 00:01:32,92.0,1.5333333333333334,18:05:28,18:07:00
2023-05-07,2023-05-07,1900-01-01 15:03:26,1900-01-01 15:19:00,"15,567",178.9,182.7,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.24411134903640147,2000-01-01 15:03:26,2000-01-01 15:19:00,0 days 00:15:34,934.0,15.566666666666666,15:03:26,15:19:00
2023-05-08,2023-05-08,1900-01-01 08:20:27,1900-01-01 08:28:00,"7,550",164.3,166.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.26490066225165565,2000-01-01 08:20:27,2000-01-01 08:28:00,0 days 00:07:33,453.0,7.55,08:20:27,08:28:00
2023-05-05,2023-05-05,1900-01-01 11:36:27,1900-01-01 11:53:00,"16,550",159.2,162.0,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.16918429003021215,2000-01-01 11:36:27,2000-01-01 11:53:00,0 days 00:16:33,993.0,16.55,11:36:27,11:53:00
2023-05-05,2023-05-05,1900-01-01 13:23:27,1900-01-01 13:27:00,"3,550",179.2,182.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.957746478873241,2000-01-01 13:23:27,2000-01-01 13:27:00,0 days 00:03:33,213.0,3.55,13:23:27,13:27:00
2023-05-05,2023-05-05,1900-01-01 14:12:27,1900-01-01 14:23:00,"10,550",178.4,181.1,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.25592417061611267,2000-01-01 14:12:27,2000-01-01 14:23:00,0 days 00:10:33,633.0,10.55,14:12:27,14:23:00
2023-05-05,2023-05-05,1900-01-01 14:38:28,1900-01-01 14:47:00,"8,533",179.5,181.5,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.234375,2000-01-01 14:38:28,2000-01-01 14:47:00,0 days 00:08:32,512.0,8.533333333333333,14:38:28,14:47:00
2023-05-07,2023-05-07,1900-01-01 15:29:26,1900-01-01 15:33:00,"3,567",163.5,165.7,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.6168224299065388,2000-01-01 15:29:26,2000-01-01 15:33:00,0 days 00:03:34,214.0,3.566666666666667,15:29:26,15:33:00
2023-05-07,2023-05-07,1900-01-01 15:42:26,1900-01-01 15:59:59,"20,567",173.2,176.35729335494327,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.17990275526742386,2000-01-01 15:42:26,2000-01-01 15:59:59,0 days 00:17:33,1053.0,17.55,15:42:26,15:59:59
2023-05-07,2023-05-07,1900-01-01 16:00:00,1900-01-01 16:03:00,"20,567",176.35729335494327,176.89700162074553,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.17990275526742386,2000-01-01 16:00:00,2000-01-01 16:03:00,0 days 00:03:00,180.0,3.0,16:00:00,16:03:00
2023-05-04,2023-05-04,1900-01-01 16:45:28,1900-01-01 16:50:04,"4,600",164.4,166.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.4347826086956522,2000-01-01 16:45:28,2000-01-01 16:50:04,0 days 00:04:36,276.0,4.6,16:45:28,16:50:04
2023-05-05,2023-05-05,1900-01-01 10:10:26,1900-01-01 10:25:00,"14,567",163.4,167.2,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.26086956521739013,2000-01-01 10:10:26,2000-01-01 10:25:00,0 days 00:14:34,874.0,14.566666666666666,10:10:26,10:25:00
2023-05-05,2023-05-05,1900-01-01 11:37:27,1900-01-01 11:39:00,"1,550",163.4,166.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.8709677419354875,2000-01-01 11:37:27,2000-01-01 11:39:00,0 days 00:01:33,93.0,1.55,11:37:27,11:39:00
2023-05-05,2023-05-05,1900-01-01 12:24:27,1900-01-01 12:59:00,"34,550",181.5,183.8,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.06657018813314071,2000-01-01 12:24:27,2000-01-01 12:59:00,0 days 00:34:33,2073.0,34.55,12:24:27,12:59:00
2023-05-05,2023-05-05,1900-01-01 15:59:28,1900-01-01 15:59:59,"48,533",175.2,175.23513049450548,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.06799450549450572,2000-01-01 15:59:28,2000-01-01 15:59:59,0 days 00:00:31,31.0,0.5166666666666667,15:59:28,15:59:59
2023-05-05,2023-05-05,1900-01-01 16:00:00,1900-01-01 16:48:00,"48,533",175.23513049450548,178.49886675824175,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.06799450549450572,2000-01-01 16:00:00,2000-01-01 16:48:00,0 days 00:48:00,2880.0,48.0,16:00:00,16:48:00
2023-05-05,2023-05-05,1900-01-01 15:59:28,1900-01-01 15:59:59,"1,550",180.8,181.46666666666667,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,1.2903225806451613,2000-01-01 15:59:28,2000-01-01 15:59:59,0 days 00:00:31,31.0,0.5166666666666667,15:59:28,15:59:59
2023-05-05,2023-05-05,1900-01-01 16:00:00,1900-01-01 16:01:01,"1,550",181.46666666666667,182.77849462365592,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,1.2903225806451613,2000-01-01 16:00:00,2000-01-01 16:01:01,0 days 00:01:01,61.0,1.0166666666666666,16:00:00,16:01:01
2023-05-05,2023-05-05,1900-01-01 10:25:26,1900-01-01 10:59:59,"47,567",164.5,168.13174491941135,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.1051156271899089,2000-01-01 10:25:26,2000-01-01 10:59:59,0 days 00:34:33,2073.0,34.55,10:25:26,10:59:59
2023-05-05,2023-05-05,1900-01-01 11:00:00,1900-01-01 11:13:00,"47,567",168.13174491941135,169.49824807288016,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.1051156271899089,2000-01-01 11:00:00,2000-01-01 11:13:00,0 days 00:13:00,780.0,13.0,11:00:00,11:13:00
2023-05-07,2023-05-07,1900-01-01 16:29:26,1900-01-01 16:35:00,"5,567",164.6,166.7,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.3772455089820349,2000-01-01 16:29:26,2000-01-01 16:35:00,0 days 00:05:34,334.0,5.566666666666666,16:29:26,16:35:00
2023-05-08,2023-05-08,1900-01-01 06:39:23,1900-01-01 06:42:00,"2,617",164.3,166.7,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.9171974522292906,2000-01-01 06:39:23,2000-01-01 06:42:00,0 days 00:02:37,157.0,2.6166666666666667,06:39:23,06:42:00
2023-05-05,2023-05-05,1900-01-01 14:15:27,1900-01-01 14:59:59,"182,550",164.2,165.2245960010956,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.023007395234182507,2000-01-01 14:15:27,2000-01-01 14:59:59,0 days 00:44:32,2672.0,44.53333333333333,14:15:27,14:59:59
2023-05-05,2023-05-05,1900-01-01 15:00:00,1900-01-01 15:59:59,"182,550",165.2245960010956,166.60465625855932,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.023007395234182507,2000-01-01 15:00:00,2000-01-01 15:59:59,0 days 00:59:59,3599.0,59.983333333333334,15:00:00,15:59:59
