NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3694840,2023-08-31,2023-08-31,17:02:29,17:16:01,44692.0,3302000.0,"13,533",115.5,112.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3694956,2023-08-31,2023-08-31,17:19:29,18:01:08,156305.0,3753000.0,"41,650",154.0,152.0,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3695394,2023-08-31,2023-08-31,18:51:27,18:57:00,18257.0,3289000.0,"5,550",136.3,132.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694510,2023-08-31,2023-08-31,16:16:28,16:30:06,54832.0,4022000.0,"13,633",136.5,131.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694511,2023-08-31,2023-08-31,16:16:28,16:18:00,3833.0,2500000.0,"1,533",140.3,137.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695154,2023-08-31,2023-08-31,17:46:29,17:52:00,14832.0,2689000.0,"5,517",134.4,131.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695155,2023-08-31,2023-08-31,17:46:29,18:39:00,173538.0,3304000.0,"52,517",154.7,152.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694609,2023-08-31,2023-08-31,16:30:29,16:43:00,40118.0,3205000.0,"12,517",136.0,131.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694420,2023-08-31,2023-08-31,16:01:28,16:03:00,3680.0,2400000.0,"1,533",100.8,98.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3694530,2023-08-31,2023-08-31,16:18:28,16:21:00,6100.0,2408000.0,"2,533",139.7,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694535,2023-08-31,2023-08-31,16:19:28,16:23:00,10167.0,2877000.0,"3,533",118.3,115.1,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3694232,2023-08-31,2023-08-31,15:21:28,17:14:04,862447.0,7659000.0,"112,600",150.3,148.3,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3694754,2023-08-31,2023-08-31,16:50:28,16:54:00,7437.0,2105000.0,"3,533",108.5,106.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3694344,2023-08-31,2023-08-31,15:48:28,15:56:02,20622.0,2725000.0,"7,567",135.2,132.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694769,2023-08-31,2023-08-31,16:52:29,16:55:03,5960.0,2322000.0,"2,567",114.1,111.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3695082,2023-08-31,2023-08-31,17:35:29,17:37:00,4095.0,2700000.0,"1,517",115.9,113.2,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3694443,2023-08-31,2023-08-31,16:05:28,16:11:02,42118.0,7566000.0,"5,567",141.0,133.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694549,2023-08-31,2023-08-31,16:21:28,16:24:00,7393.0,2918000.0,"2,533",139.6,136.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695324,2023-08-31,2023-08-31,18:17:28,18:20:03,5517.0,2135000.0,"2,583",139.6,137.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3722693,2023-09-19,2023-09-19,16:19:29,16:35:04,35107.0,2253000.0,"15,583",99.1,96.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723303,2023-09-19,2023-09-19,17:33:30,17:35:03,6510.0,4200000.0,"1,550",106.8,102.6,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723688,2023-09-20,2023-09-20,06:16:22,07:31:00,481272.0,6448000.0,"74,633",141.9,139.4,A,50,A50,ascending,Oss,Arnhem,Uitgelopen werkzaamheden,E-A
