,NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
7072,3238635,2022-10-24,2022-10-24,17:05:28,17:07:00,4753.0,3100000.0,"1,533",117.4,120.5,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7073,3242076,2022-10-26,2022-10-26,17:10:28,17:19:01,29258.0,3422000.0,"8,550",110.7,114.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7074,3242117,2022-10-26,2022-10-26,17:16:28,17:26:02,30372.0,3175000.0,"9,567",110.9,114.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7075,3240309,2022-10-25,2022-10-25,16:54:28,16:56:01,3255.0,2100000.0,"1,550",110.8,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7076,3235383,2022-10-21,2022-10-21,14:36:28,14:38:00,3220.0,2100000.0,"1,533",114.2,116.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,traffic jam outside rush hour (no cause reported),11,E-D
7077,3236491,2022-10-21,2022-10-21,17:13:28,17:16:02,8983.0,3500000.0,"2,567",119.8,123.3,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),11,E-D
7078,3240718,2022-10-25,2022-10-25,17:45:28,17:48:01,6090.0,2388000.0,"2,550",143.0,156.1,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),11,E-D
7079,3242449,2022-10-26,2022-10-26,18:10:28,18:20:02,31615.0,3305000.0,"9,567",110.8,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7080,3236407,2022-10-21,2022-10-21,17:02:28,17:04:01,3565.0,2300000.0,"1,550",110.9,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7081,3238741,2022-10-24,2022-10-24,17:23:28,17:25:02,3290.0,2100000.0,"1,567",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7082,3238834,2022-10-24,2022-10-24,17:36:28,17:38:01,3565.0,2300000.0,"1,550",116.9,119.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7083,3235402,2022-10-21,2022-10-21,14:41:27,18:27:01,1301527.0,5770000.0,"225,567",110.9,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7084,3241717,2022-10-26,2022-10-26,16:20:28,16:22:01,4805.0,3100000.0,"1,550",110.9,114.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7085,3241748,2022-10-26,2022-10-26,16:24:28,16:29:01,12088.0,2657000.0,"4,550",110.8,113.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7086,3235506,2022-10-21,2022-10-21,15:11:28,15:13:00,3680.0,2400000.0,"1,533",110.5,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7087,3223535,2022-10-13,2022-10-13,17:54:28,17:56:02,3760.0,2400000.0,"1,567",118.3,120.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7088,3224900,2022-10-14,2022-10-14,15:45:28,15:50:02,10238.0,2242000.0,"4,567",114.5,116.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7089,3224901,2022-10-14,2022-10-14,15:45:28,15:48:00,5327.0,2103000.0,"2,533",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7090,3225164,2022-10-14,2022-10-14,16:26:28,16:30:02,7940.0,2226000.0,"3,567",110.8,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7091,3221981,2022-10-13,2022-10-13,09:26:26,09:29:00,10267.0,4000000.0,"2,567",112.8,116.8,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7092,3222113,2022-10-13,2022-10-13,10:09:26,11:22:14,343667.0,4721000.0,"72,800",110.1,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,,11,E-D
7093,3223156,2022-10-13,2022-10-13,17:12:28,17:16:02,5350.0,1500000.0,"3,567",117.1,118.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7094,3222121,2022-10-13,2022-10-13,10:12:26,10:59:00,138150.0,2967000.0,"46,567",110.9,114.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,traffic jam outside rush hour (no cause reported),11,E-D
7095,3223059,2022-10-13,2022-10-13,17:03:29,17:06:02,5865.0,2300000.0,"2,550",110.9,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7096,3224922,2022-10-14,2022-10-14,15:48:28,16:23:01,153660.0,4447000.0,"34,550",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7097,3222780,2022-10-13,2022-10-13,16:33:29,18:31:02,745913.0,6345000.0,"117,550",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7098,3224751,2022-10-14,2022-10-14,15:20:28,15:25:02,9883.0,2164000.0,"4,567",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7099,3224783,2022-10-14,2022-10-14,15:27:28,15:32:00,7772.0,1714000.0,"4,533",113.8,115.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7100,3224875,2022-10-14,2022-10-14,15:42:28,15:44:00,3067.0,2000000.0,"1,533",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7101,3223071,2022-10-13,2022-10-13,17:04:29,17:28:03,119385.0,5066000.0,"23,567",108.8,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7102,3226949,2022-10-17,2022-10-17,09:01:26,09:12:00,40088.0,3794000.0,"10,567",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7103,3227596,2022-10-17,2022-10-17,17:19:28,17:21:07,7260.0,4400000.0,"1,650",110.6,115.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7104,3222983,2022-10-13,2022-10-13,16:56:28,17:04:00,22687.0,3012000.0,"7,533",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7105,3223473,2022-10-13,2022-10-13,17:44:28,17:50:04,31670.0,5655000.0,"5,600",118.1,125.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7106,3225207,2022-10-14,2022-10-14,16:32:28,17:04:00,91272.0,2894000.0,"31,533",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7107,3225362,2022-10-14,2022-10-14,16:55:28,16:58:02,5390.0,2100000.0,"2,567",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7108,3223279,2022-10-13,2022-10-13,17:24:30,17:44:03,94810.0,4850000.0,"19,550",115.6,121.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7109,3227562,2022-10-17,2022-10-17,17:14:28,17:38:02,82660.0,3507000.0,"23,567",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7110,3222603,2022-10-13,2022-10-13,16:15:28,16:18:00,5400.0,2132000.0,"2,533",110.8,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7111,3227496,2022-10-17,2022-10-17,16:53:28,16:55:02,6737.0,4300000.0,"1,567",110.8,115.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7112,3227533,2022-10-17,2022-10-17,17:03:28,17:19:01,53693.0,3453000.0,"15,550",110.9,115.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7113,3227687,2022-10-17,2022-10-17,17:39:28,17:44:01,21327.0,4687000.0,"4,550",110.9,116.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7114,3222907,2022-10-13,2022-10-13,16:48:29,16:53:00,11207.0,2481000.0,"4,517",115.0,117.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7115,3223104,2022-10-13,2022-10-13,17:07:28,17:12:02,9710.0,2126000.0,"4,567",115.5,117.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7116,3228002,2022-10-18,2022-10-18,07:06:24,08:48:00,585378.0,5762000.0,"101,600",110.9,113.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7117,3228187,2022-10-18,2022-10-18,07:41:25,07:49:01,13947.0,1835000.0,"7,600",112.5,114.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7118,3228256,2022-10-18,2022-10-18,07:50:26,07:53:00,3768.0,1468000.0,"2,567",114.8,116.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7119,3221907,2022-10-13,2022-10-13,09:12:27,09:18:00,17093.0,3080000.0,"5,550",113.8,117.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7120,3223302,2022-10-13,2022-10-13,17:27:29,17:30:02,9945.0,3900000.0,"2,550",110.4,114.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
