NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
2976602,2022-04-05,2022-04-05,18:12:32,18:45:01,88993.0,2740000.0,"32,483",137.1,135.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977607,2022-04-06,2022-04-06,17:12:29,17:14:00,5612.0,3700000.0,"1,517",115.3,111.6,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2976272,2022-04-05,2022-04-05,17:26:33,17:30:02,11648.0,3344000.0,"3,483",115.9,112.5,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2976386,2022-04-05,2022-04-05,17:38:34,18:10:02,138888.0,4414000.0,"31,467",140.1,137.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2973893,2022-04-04,2022-04-04,16:50:32,16:52:00,3080.0,2100000.0,"1,467",139.0,136.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974177,2022-04-04,2022-04-04,17:32:32,17:39:00,34350.0,5312000.0,"6,467",113.6,108.8,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974804,2022-04-05,2022-04-05,08:00:31,08:03:00,5287.0,2129000.0,"2,483",139.6,137.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974889,2022-04-05,2022-04-05,08:10:31,08:13:00,5587.0,2250000.0,"2,483",159.6,157.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977744,2022-04-06,2022-04-06,17:35:29,17:38:00,6732.0,2675000.0,"2,517",108.6,105.9,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2973903,2022-04-04,2022-04-04,16:51:32,17:38:00,140425.0,3022000.0,"46,467",110.9,108.9,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2975741,2022-04-05,2022-04-05,16:04:32,16:18:00,34333.0,2550000.0,"13,467",139.5,137.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977661,2022-04-06,2022-04-06,17:21:29,17:26:02,13618.0,2993000.0,"4,550",134.6,131.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976323,2022-04-05,2022-04-05,17:31:32,17:37:01,16032.0,2924000.0,"5,483",102.2,98.9,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2978237,2022-04-07,2022-04-07,07:46:26,09:33:00,725243.0,6806000.0,"106,567",159.8,157.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978361,2022-04-07,2022-04-07,08:02:27,08:07:00,14205.0,3122000.0,"4,550",159.5,156.8,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978397,2022-04-07,2022-04-07,08:06:26,08:29:01,73637.0,3261000.0,"22,583",139.6,137.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978462,2022-04-07,2022-04-07,08:12:27,08:19:01,16233.0,2472000.0,"6,567",152.5,150.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978494,2022-04-07,2022-04-07,08:16:28,08:19:01,5605.0,2198000.0,"2,550",159.6,157.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2973811,2022-04-04,2022-04-04,16:35:32,16:44:00,27202.0,3213000.0,"8,467",116.1,112.2,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974741,2022-04-05,2022-04-05,07:52:30,07:55:02,5497.0,2170000.0,"2,533",159.7,157.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974816,2022-04-05,2022-04-05,08:02:30,08:05:02,6040.0,2384000.0,"2,533",134.0,131.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974817,2022-04-05,2022-04-05,08:02:30,08:06:01,8110.0,2306000.0,"3,517",159.7,157.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976230,2022-04-05,2022-04-05,17:22:33,17:29:01,17833.0,2758000.0,"6,467",139.5,137.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976608,2022-04-05,2022-04-05,18:13:32,18:15:01,2967.0,2000000.0,"1,483",133.4,131.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976299,2022-04-05,2022-04-05,17:29:32,17:40:02,34145.0,3252000.0,"10,500",136.4,134.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
